Latte
Rosewater         ,11 59% 67%
Flamingo          ,0 60% 67%
Pink              ,316 73% 69%
Mauve             ,266 85% 58%
Red               ,347 87% 44%
Maroon            ,355 76% 59%
Peach             ,22 99% 52%
Yellow            ,35 77% 49%
Green             ,109 58% 40%
Teal              ,183 74% 35%
Sky               ,197 97% 46%
Sapphire          ,189 70% 42%
Blue              ,220 91% 54%
Lavender          ,231 97% 72%
Text              ,234 16% 35%
Subtext 1         ,233 13% 41%
Subtext 0         ,233 10% 47%
Overlay 2         ,232 10% 53%
Overlay 1         ,231 10% 59%
Overlay 0         ,228 11% 65%
Surface 2         ,227 12% 71%
Surface 1         ,225 14% 77%
Surface 0         ,223 16% 83%
Base              ,220 23% 95%
Mantle            ,220 22% 92%
Crust             ,220 21% 89%


Macchiato
Rosewater         ,10 58% 90%
Flamingo          ,0 58% 86%
Pink              ,316 74% 85%
Mauve             ,267 83% 80%
Red               ,351 74% 73%
Maroon            ,355 71% 77%
Peach             ,21 86% 73%
Yellow            ,40 70% 78%
Green             ,105 48% 72%
Teal              ,171 47% 69%
Sky               ,189 59% 73%
Sapphire          ,199 66% 69%
Blue              ,220 83% 75%
Lavender          ,234 82% 85%
Text              ,227 68% 88%
Subtext 1         ,228 39% 80%
Subtext 0         ,227 27% 72%
Overlay 2         ,228 20% 65%
Overlay 1         ,228 15% 57%
Overlay 0         ,230 12% 49%
Surface 2         ,230 14% 41%
Surface 1         ,231 16% 34%
Surface 0         ,230 19% 26%
Base              ,232 23% 18%
Mantle            ,233 23% 15%
Crust             ,236 23% 12%
